i,status,question_count,gemini_calls,tavily_requests,tavily_credits,duration_ms,search_ms,structuring_ms,rescue_ms,dedupe_rejections,topup_attempts,topup_added,rescue_added,json_repair_attempts,initial_source_count,rescue_seen_count,final_unique_source_count,rescue_used,top_domains,used_queries_count,used_queries_sample,domain_yield_count,domain_yield_top
40,200,20,2,3,9,294,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
41,200,20,2,3,9,297,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
42,200,20,2,3,9,289,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
43,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
44,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
45,200,20,2,3,9,298,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
46,200,20,2,3,9,568,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
47,200,20,2,3,9,289,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
48,200,20,2,3,9,295,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
49,200,20,2,3,9,292,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
50,200,20,2,3,9,329,0,0,,0,0,0,0,0,0,0,0,false,"",3,"dry query 1|dry query 2|dry query 3",1,"dry.example.com:9"
